"순번","국가명","무역관명","무역관주소","공항무역관이동"
11.0,과테말라,과테말라 무역관,"  ㅇ 주소: 13 Calle 3-40, Zona 10, Edifi. Atlantis, Of.605, Guatemala City, Guatemala  ㅇ 전화: +502) 2298-0000  ㅇ 대표 이메일: kotraguate@gmail.com  ㅇ 홈페이지: https://www.kotra.or.kr/guatemala/index.do  ㅇ 참고사항: 과테말라 정부에서 운영하는 우편 서비스가 2020년 9월 3년 만에 서비스를 재개하였으나 아직 정상화되지 않아, 배달 사고를 막기 위해서는 반드시 DHL, FEDEX, UPS와 같은 서비스를 이용하여야 한다. 기존 일반 우편으로 보낸 분실물은 중간에 유실되거나 수개월 심지어는 수년이 지나서야 전달되는 경우가 많았다. 무역관으로 보낼 경우 반드시 &#39;Oficina Comercial de la Embajada de la Republica de Corea(한국대사관 상무관실)&#39;를 함께 적어야 불합리한 과세, 배달 사고 등 발생 시에 비교적 원만하게 해결할 수 있다.","KOTRA 과테말라 무역관은 과테말라시티 ZONA 10(제10구역)에 소재한 아틀란티스빌딩(Edificio ATLANTIS)에 입주해 있다(6층 605호). 과테말라 관문공항인 LA AURORA 국제공항은 도심에서 멀지 않은 곳에 위치해 있으며, 교통 체증이 없는 경우 무역관까지는 15~20분가량 소요된다. 대중교통이 발달해 있지 않은 관계로 공항에서의 이동은 공항 택시(AirporTaxi)를 이용하는 것이 바람직하다. 공항에서 무역관까지의 요금은 공항 택시의 경우 75케찰(10달러 정도)이며, 우버는 45케찰(6~7달러 정도) 소요된다. 일반 택시도 있지만, 치안이 불안한 관계로 추천하지 않는다. 무역관에서 도보로 이동할 수 있는 거리에 Westin Camino Real, Intercontinental, Holiday Inn, Radisson, Clarion Suite 호텔이 위치해 있다. 특히 엘살바도르/온두라스행 고속버스(Pullmantur)가 Holiday Inn에 출/도착 터미널을 운영하므로, 이후 육로를 통해 인근국으로 이동하려는 방문객은 해당 호텔에 투숙하는 것을 권장한다.무역관 입주 건물은 로비 리셉션에 신분증을 제시한 후 출입증을 받아야만 입장이 가능하다. 따라서 무역관 방문을 계획하고 있는 방문객은 여권을 반드시 지참하여야 한다. 아울러 방문 전에 이메일 또는 전화로 무역관과 방문 일정을 협의하는 것이 좋다. 사전에 열린 무역관 서비스를 신청하면 무선 인터넷을 비롯하여 인쇄/복사기 등 사무기기를 무료로 이용할 수 있고 무역관을 바이어와의 미팅 공간으로 활용할 수도 있다. "
12.0,독일,프랑크푸르트 무역관,"  ㅇ 주소: Messeturm, 33. OG, Friedrich-Ebert Anlage 49, 60308 Frankfurt am Main  ㅇ 전화번호: +49 (0)69 242 9920  ㅇ 이메일: frankfurt@kotra.or.kr   ㅇ 홈페이지: www.kotra.or.kr/frankfurt","  ㅇ (지하철) 공항에서 5분 거리인 Regionalbahnhof 역에서 중앙역(Hauptbahnhof) 방향 S8 또는 S9 승차- Frankfurt 중앙역(Frankfurt Hauptbahnhof)에서 하차-복켄하이머 바르테(Bockenheimer Warte) 행 U4 탑승      - 중앙역에서 하차한 후 중앙역 입구 앞 큰길 건너편에서 지상전철(Tram: 메쎄(Messe) 방면 16번 또는 17번 로 갈아타-페스트할레/메쎄역(Festhalle/Messe) 역에서 하차하는 방법도 있음. 역에서 북쪽 출구로 나와 도보로는 약 10~15분 정도 소요된다.    - 요금은 성인요금 기준 (만 15세 이상 적용) 공항에서 메쎄까지 6.30유로. 어린이(만6-14세) 3.70유로, 6세 미만은 무료이다.  ㅇ (버스) 시내까지 한 번에 오는 버스노선은 없다.  ㅇ (택시) 공항에서 무역관까지 약 40유로의 비용을 지불해야 한다.   ㅇ (건물 도착 후) 로비 Security Desk에서 방문처를 밝히고 신분증을 제시하면 무역관에 유선으로 확인 후 출입하게 해 주며, 무역관 방문 전 이메일 또는 유선으로 방문 일정을 사전에 협의하는 것이 좋다. 무역관 사무실은 33층에 소재한다."
13.0,독일,함부르크 무역관,"  ㅇ 주소: Axel-Springer-Platz 3, Haus B, 20355 Hamburg, Germany    ㅇ 전화번호: +49  (0)40 3405-740  ㅇ 이메일: info@kotra.de   ㅇ 홈페이지: www.kotra.or.kr/hamburg","  ㅇ (지하철) S1 Stadthausbr&uuml;cke 역 혹은 U3 R&ouml;dingsmarkt 역 하차, 도보 5분 거리 위치  ㅇ (버스) 중앙역 HBF/M&ouml;nckebergstra&szlig;e 역에서 버스 3번 탑승, Axel-Springer-Platz 역에서 하차     ㅇ (택시) 무역관 주소(Axel-Springer-Platz 3)를 택시 기사에게 보여주면 도착 가능 (약 25분 소요)   ㅇ 참고사항     - KOTRA 독일 함부르크 무역관은 Hanse Forum 빌딩 B동, 2층에 입주해 있다."
14.0,독일,뮌헨 무역관,"  ㅇ 주소: 5th floor B&uuml;rkleinhaus,  B&uuml;rkleinstra&szlig;e 10, 80538 M&uuml;nchen, Germany     ㅇ 전화번호: +49  (0)89 2424-2630    ㅇ 이메일: munich@kotra.or.kr   ㅇ 홈페이지: www.kotra.or.kr/KBC/munich/KTMIUI010M.html","  ㅇ (지하철) 뮌헨공항 역에서 전철(S 1번 혹은 S 8번)을 타고 Isartor역에서 하차 후 Thierschstrasse 방향의 출구로 이동    - 출구로 나와 바로 좌측의 길을 따라 Thomas-Wimmer-Ring 도로를 따라  350m 정도를 걸어오시면 Maximilianstrasse 사거리가 나오며, 사거리에서 걸어온 방향으로 신호등을 건너서 Karl-Scharnagl-Ring 도로를 따라 150m 정도 직진 후 우측의 OBJECT CARPET 쇼룸이 위치한 빌딩 5층에 뮌헨 무역관(Korea Business Center Muenchen)이 위치하고 있다.  ㅇ (공항버스) 공항 터미널 1 또는 2에 있는 공항버스 승강장에서 15분 간격으로 출발하는 루프트한자 익스프레스 버스(Lufthansa Express Bus)를 타고 중앙역(M&uuml;nchen Hauptbahnhof)까지 온 후 전철(U-Bahn 4호선 및 5호선 탑승 후 Lehel역 하차) 또는 택시 이용을 추천한다. 루프트한자 익스프레스 버스 요금은 12유로이며, 버스 내 구입 시는 13유로이다.  ㅇ (택시) 공항, 중앙역(Hauptbahnhof) 등 택시 승강장이 있는 경우는 바로 탑승하면 되고, 일반적으로는 전화를 걸어 택시를 불러야 한다.(Call Taxi 전화번호: 21610).    - 택시 탑승 후 뮌헨무역관 주소(B&uuml;rkleinstra&szlig;e 10, 80538 M&uuml;nchen)를 택시 운전사에게 제시하면 바로 뮌헨 무역관 앞까지 올 수 있으며, 공항에서 무역관까지는 약 105유로, 중앙역에서 뮌헨 무역관까지는 약 20유로가 소요된다."
15.0,알제리,알제 무역관,"  ㅇ 주소: Cit&eacute; des PTT, No. A/18, Hydra, Alger  ㅇ 이메일: alger@kotra.or.kr  ㅇ 대표전화: +213-23-47-39-10","공항에서 시내까지 운행되는 대중교통이 없고 무역관 근처 또한 대중교통이 전무한 관계로 택시를 이용해서 이동해야만 한다. 택시 기사에게 목적지 주소를 보여주고 가격을 사전에 협상해야 하는데, 요금은 1,000~1,500 디나르 정도가 적당하다. 다만, 알제리의 주소 시스템이 체계적이지 못한 관계로 주소만 갖고 목적지를 찾기 힘든 점을 감안하여 출발 전에 반드시 무역관에 연락하여 현지직원과 택시기사가 통화하고 정확한 위치를 확인한 후에 출발하는 것이 좋다. "
16.0,뉴질랜드,오클랜드 무역관,"  ○ 무역관 주소: Level 16, 120 Albert St, Auckland  ○ 대표 전화: +64-9-373-5792  ○ 팩스 번호: +64-9-373-2952  ○ 이메일: akl_ktc@kotra.or.kr","○ 오클랜드 국제공항      - 오클랜드 국제공항에 비행기가 도착한 후 입국심사 및 수하물 검사를 한다.      - 특히 식품 소지 시 검역 절차가 매우 까다로우므로 주의가 필요하다.○ 오클랜드 공항버스 (Skydrive)      - 요금: NZ$ 18달러 (학생 요금 NZ$ 15달러, 30분 간격으로 운영)      - 첫 버스는 오전 5:00에 운행되며, 마지막 버스는 오후 22:30에 출발한다.      - 공항에서 탑승하여 오클랜드 스카이 시티(Auckland Sky City) 정류장에서 하차하며, 하차 지점에서부터 무역관까지는 도보로 약          5분 정도 소요된다.○ 일반 택시      - 택시 운임 요금은 약 NZ$ 75달러(Corporate Cabs 기준임)이다.      - 무역관 입주 건물 (Huawei Centre, 120 Albert Street) 앞에서 하차한다.○ 우버(Uber)       - 우버(Uber) 애플리케이션을 설치하여 편리하게 택시를 호출할 수 있으며, 시간대별로 금액이 상이하나 대개 무역관에서          오클랜드 공항까지 NZ$ 50~70달러 정도 소요된다.○ 셔틀 미니밴      - 셔틀 운임: 오클랜드 시티 센터(City Centre) 도착 기준 최저 가격은 NZ$ 30달러(1인 기준)이다.        (요금은 탑승 인원의 수 및 수하물의 부피에 따라 변동)      - 무역관 인접 크라운 플라자 호텔을 기사에게 알려주고 호텔에 하차 후 무역관이 입주하여 있는 옆 빌딩(Huawei Centre)으로 이동한다.      - 사전 예약 필수(www.supershuttle.co.nz) - 예약 시간대와 인원수 및 수화물에 따라 요금이 달라진다."
17.0,튀니지,알제 무역관,"튀니지에는 KOTRA 무역관이 없으며, 인근 알제 무역관에서 튀니지까지 관할하고 있다.   ㅇ 주소: 18 Rue A, Cit&eacute; des PTT, Hydra, Alger  ㅇ 이메일: alger@kotra.or.kr  ㅇ 대표전화: +213-23-47-39-10","튀니지에는 KOTRA 무역관이 없으며 알제리 소재의 알제무역관이 관할하고 있다. 알제 무역관을 방문하고자 할 경우, 알제 공항에서 무역관 근처까지 운행되는 대중교통이 없으므로 택시를 이용해서 이동해야 한다. 택시 기사에게 목적지 주소를 보여주고 가격을 사전에 협상해야 하는데 알제리 디나르 기준 1,000디나르에서 1,500디나르 정도가 적당하다. 알제리의 주소 시스템이 체계적이지 못한 관계로 주소로만 목적지를 찾기 힘들기에 무역관에 연락하여 현지직원과 택시기사가 통화하고 위치를 확인한 후 출발하는 것이 좋다."
18.0,호주,시드니 무역관,"  ㅇ 무역관 영문명칭: Korea Trade Centre, KOTRA Sydney  ㅇ 주소: Suite 19.01, Level 19, 570 George Street, Sydney NSW 2000  ㅇ 전화번호: +61-2-8233-4000  ㅇ 이메일: info@kotra.org.au  ㅇ URL: https://www.kotra.or.kr/subList/20000005998","  ㅇ 방법 1: 일반택시 - George Street 570번지(George Street과 Bathurst Street의 교차로)에서 하차하면 된다. 약 25~30분이 소요되며 요금은 약 55.00 호주달러(약 4만 8,868원) 내외이다.   ㅇ 방법 2: 공유택시 - 공항 내 공유택시 전용 승하차 구역에서 모바일 앱을 사용하여 차량을 요청한다. 공유택시는 일반택시 이용 시보다 요금이 저렴할 수 있으며 소요시간 및 이동경로를 예측할 수 있다. 무엇보다 정확한 하차 지점을 설정한 후 이동하므로 이용이 편리하다. 공항에서 무역관까지의 소요시간은 이동 시간대에 따라 약 25~30분이 소요되며 요금은 약 50.00 호주달러(약 4만 4,425원) 내외이다.  ㅇ 방법 3: 대중교통(기차) - 시드니 Kingsford 공항역(국제선 또는 국내선)에서 시티(City) 방향 기차를 이용해 타운홀(Town Hall) 역에서 하차한다. George Street 방향 2번 출구로 나온 뒤 QVB를 등지고 도보로 조금 걸어가면 George Street와 Bathurst Street 코너에 위치한 건물이다. (*KFC 대각선 방향) 해당 건물 19층에 무역관이 위치하고 있으며, 약 20분의 시간이 소요된다. (기차 편도요금: Opal 카드 소지 시 21.65 호주달러(피크타임) 또는 20.15 호주달러(오프 피크타임), 일반편도 요금: 21.80 호주달러)"
19.0,호주,멜버른 무역관,"  ㅇ 무역관 영문명칭: Korea Trade Centre, KOTRA Melbourne  ㅇ 주소: Level 12, IBM Centre, 60 City Road, Southbank, VIC 3006  ㅇ 전화번호: +61-3-9860-0500  ㅇ URL: https://www.kotra.or.kr/subList/20000005998","  ㅇ 방법 1: 택시 - 멜버른 공항에서 무역관까지의 소요시간은 약 30분 정도이며, 택시요금은 약 55 호주달러(약 4만 8,950원)로 예상된다.  ㅇ 방법 2: 대중교통(Skybus 및 train) - 멜버른 공항에서 스카이버스를 타고 서던 크로스 역 (Southern Cross station)에서 내린 후, 플린더스 스트리트 역 (Finders street station)까지 기차를 타고 이동(약 4분), 역에서 나와 사우스게이트(Southgate) 방향으로 이동한다. 멜버른 무역관은 IBM센터 건물 12층에 위치하고 있다. (스카이버스 편도요금: 23.9 호주달러(약 2만 1,271원), 기차는 마이키카드(Myki)카드를 6 호주달러(약 5,340원)에 구매한 후 충전(5.30 호주달러(약 4,717원) / 2시간, 10.60 호주달러(약 9,434원) / 1일)해 사용한다)."
20.0,미얀마,KOTRA 양곤무역관,"  ㅇ 주소: #07-3/4/5, Junction City Tower, Corner of 27 Street &amp; Bogyoke Aung San Road, Pabedan Township, Yangon, Myanmar  ㅇ 전화번호: (95-1) 9253346~50  ㅇ 이메일: yangonkotra@gmail.com  ㅇ 홈페이지: https://www.kotra.or.kr/subList/20000005998/ovrssKbc/selectOvrssKbcDetail.do?deptCd=9112","양곤국제공항(Yangon International Airport)에서 출발하는 경우에는 시내로 가는 공항버스를 500짜트(약 0.3달러)에 이용할 수 있으나, 안전 및 청결문제를 고려하여 택시를 이용하는 것이 더 편리하다. 양곤국제공항에서 양곤무역관까지 택시 요금은 15,000~20,000짜트(약 5~8달러)로 저렴한 편이며 이동 시간은 약 40~60분 정도가 소요된다.  건물 도착 후  로비에 위치한 Information Desk에서 방문처를 &#39;KOTRA&#39;로 밝힌뒤 신분증을 맡겨 건물 출입카드를 임시로 받을 수 있다. 이후 무역관이 소재한 7층을 방문가능하다. 단, 무역관의 원활한 지원을 위해 이메일이나 유선으로 방문 관련 사전 문의할 것을 권장한다. "
